shopname,tags,address&tel,average,features
Cafe&Meal MUJI(海港城店),标签:小吃快餐   日本料理,"地址:尖沙咀广东道17号海港城海洋中心4楼407,415-419号铺   39713101",¥113,特色: 牛肉   生鱼片   海胆
Shari Shari Kakigori House 氷...,标签:面包甜点   甜品,地址:中環 （蘇豪）士丹頓街47號   +852-26612347,¥62,特色: 日本和牛   哈根达斯   芋头
The Artist House(Fashion Walk),标签:酒吧   西餐,地址:铜锣湾Fashion Walk京士顿街9-11号1楼G4号铺   +852-26588818,-,特色: 百秒黄花鱼   興化炒米粉   鐡板盐焗蛏子
太平洋咖啡(尖沙咀),标签:咖啡厅,"地址:尖沙咀漢口道38-40號漢興大廈地下C, D, E舖   +852-24228962",¥40,特色: 伤心酸辣粉   口水鸡   夫妻肺片
妹记生滚粥品,标签:小吃快餐   面条,地址:花园市政大厦3F熟食中心11-12号铺   27890198,¥43,特色: 皇者牛排骨   熊本霜降牛肉   和牛
香港香港争鲜回转寿司(上水店),标签:日本料理,地址:香港上水龙琛路48号上水汇1楼101号铺   +852-23437138,¥68,特色: 厚切猪排包   冻奶茶   番茄牛肉通心粉
沙嗲王(金马伦道国钯大厦店),标签:东南亚菜,地址:尖沙咀金马伦道58-60号国钯大厦1楼   +852-27556678,¥100,特色: 早茶点心   烧鹅   蛋挞
生记粥店(旺角店) 分店,标签:港式小吃   小吃快餐,地址:旺角上海街421号   26269958,¥32,特色: 鸡柳乌冬   黑蒜油汤猪软骨   汁燒魷魚筒
帝苑轩,标签:粤菜   中餐,地址:尖沙咀么地道69号帝苑酒店地库2层   +852-27242666,¥427,特色: 美式咖啡
德丰粉面茶餐厅,标签:茶餐厅   粤菜,地址:深水埗桂林街145-147号地下   +852-27480755,¥103,特色: 美人锅   老锅秘制麻辣锅   鲜炸响铃
太兴烧味餐厅(旺角通菜街店) 分店,标签:茶餐厅   粤菜,地址:太子通菜街142-146号启运大厦地下C号铺   23929448,¥72,特色: 贵妃脆虾球   京蔥胡椒包   生煎包
圃鍋,标签:火锅,地址:灣仔軒尼詩道314-324號WSquare4樓   ,¥316,特色: 云吞面   牛腩   虾球虾子捞面
霸吗拉面(尖沙咀店),标签:日本料理   面条,地址:金巴利道26号地下   +852-22178300,¥90,特色: 龙虾   海鮮   甜品
太平洋咖啡(新都城中心二期店) 分店,标签:咖啡厅,地址:将军澳新都城中心二期1楼天幕广场   31944341,¥40,特色: 自助早餐   烧腊拼盘   杂菌炒牛柳
翠华餐厅(机场店) 分店,标签:茶餐厅   粤菜,地址:赤鱲角香港国际机场一号客运大楼第7层离港层东大堂(禁区)   +852-22610277,¥74,特色: 芒果天后   榴莲天王   杨枝甘露
首首·韩式小馆,标签:韩国料理,地址:湾仔皇后大道东200号利东街地下G22-23号及一楼F22A号   +852-37522882,¥221,特色: 流沙包   虾饺   黑椒凤爪
太平洋咖啡(影湾园店) 分店,标签:咖啡厅,地址:浅水湾道109号影湾园地下108-110号铺   28126198,¥40,特色: 丝袜奶茶   猪仔包   猪扒包
三希楼(铜锣湾店),标签:中餐   川菜,地址:香港铜锣湾时代广场食通天11楼1102号铺   +852-21119952,¥357,特色: vodka
Ta Vie,标签:法国菜   西餐,地址:中环皇后大道中74号石板街酒店2楼   +852-26686488,¥2251,特色: 敲糖棒棒鸡   酸汤安格斯肥牛片   毛血旺
满记甜品(屯门市广场店),标签:面包甜点   甜品,地址:屯门屯门市广场一期1楼 Kiosk C 号铺   +852-37554301,-,特色: 冰淇淋   肥牛   极上美国牛肉
太平洋咖啡(力宝中心店) 分店,标签:咖啡厅,地址:金钟金钟道89号力宝中心1楼2AC铺   28015595,¥40,特色: 一品鸡煲   炸响铃   冻柠茶
NOC Coffee Co.,标签:西餐,地址:中环歌赋街18号地下   +852-28703031,¥62,特色: 虾饺   凤爪   肠粉
湘轩,标签:中餐   川菜,地址:铜锣湾骆克道405号   +852-27880897,¥188,特色: 菠萝包   奶茶   沙爹牛肉汤面
太平洋咖啡(万国宝通中心店) 分店,标签:咖啡厅,地址:铜锣湾万国宝通中心大堂地下   25108616,¥40,特色: 甘草柠檬   咸柠檬   甘草橄榄
骏景轩,标签:中餐 米其林一星,地址:灣仔皇后大道東373號英皇駿景酒店1樓   +852-29613330,¥334,特色: 虾饺   凤爪   凤城灌汤饺
豪隍点心,标签:茶餐厅   粤菜,地址:尖沙咀厚福街3号华博商业大厦2-3号铺   27226866,¥70,特色: 猕猴桃汁   玫瑰芝心蛋糕   榛子拿铁
粤,标签:粤菜   中餐 米其林一星,地址:北角城市花园道9号城市花园酒店1楼   28064918,¥298,特色: 咸蛋木薯薯片   咸蛋黄鱼皮
太平洋咖啡(中环中心店) 分店,标签:咖啡厅,地址:中环皇后大道中99号中环中心4号铺   21690711,¥40,特色: 蒸海鲜   殿堂级海鲜套餐   花蟹
铁人旨花,标签:日本料理,地址:香港铜锣湾谢斐道477-481号肈明大厦2楼   +852-28928819,¥1097,特色: 牛丸   牛腩   奶茶红豆冰
太平洋咖啡(东港城店) 分店,标签:咖啡厅,地址:将军澳重华路8号东港城1楼C区   26286827,¥40,特色: 胡椒猪肚汤   蠔餅   潮州肉碎蠔仔粥
牛角日本烧肉专门店(皇室堡店) 分店,标签:日本料理,地址:香港铜锣湾告士打道311号皇室堡1楼112-115号铺   +852-31677138,¥224,特色: 芥末鸡腿   鲍鱼烩饭   龙虾三明治
石澳乐园,标签:东南亚菜,地址:石澳石澳村786号地下   28094165,¥90,特色: 云吞   云呑捞粗面   牛腩
荣式烧鸡扒(屯门时代广场店) 分店,标签:茶餐厅   粤菜,地址:屯门屯隆街2号屯门时代广场北翼地下25-26号铺   26082138,¥47,特色: 桑寄鸡蛋莲子茶   莲子杏仁露   莲子绿豆沙
泰昌饼家(中环店) 分店,标签:面包甜点   特产手信,地址:中环摆花街35号地下   +852-83008301,¥11,特色: 冰烧三层肉   龙虾汤西施泡饭   杨枝甘露
ZUMA(置地广场店),标签:日本料理,地址:中环皇后大道中15号置地广场中庭5F501-503号铺   36576388,¥956,特色: 芝士火锅   烤芝士   巧克力蛋糕
牛阵(国际广场店) 分店,标签:日本料理   火锅,地址:弥敦道63号国际广场7楼706号铺   23111092,¥204,特色: 鸡尾酒   salmon   生鰤鱼片
莆田餐厅(美丽华店),标签:中餐   东南亚菜,地址:Mira Place2 2楼269铺   +852-36210825,¥188,特色: 奶油豬   奶茶   牛肉炒河粉
太平洋咖啡(港运城店),标签:咖啡厅,地址:丹拿道51-61号港运城1楼101号铺   +852-25975576,¥40,特色: 过桥米线   肥牛   腐竹
伤心酸辣粉(金百利广场店) 分店,标签:小吃快餐,地址:铜锣湾记利佐治街1号金百利广场5楼R3室   23339693,¥69,特色: 榴莲系列甜点   海鲜   榴莲雪糕
高丽轩韩国料理(尖沙咀店),标签:烤肉   自助餐,地址:尖沙咀金巴利道46-48号地库   +852-23689409,¥214,特色: 刺身   天妇罗带子海胆   煎牛肉
元朗冰室(尖沙咀店),标签:茶餐厅   粤菜,地址:尖沙咀金马伦道48号中国保险大厦地下A2铺   +852-26032686,¥41,特色: 奶茶   菠萝油   鱼丸河粉
美心皇宫(沙田大会堂店) 分店,标签:粤菜   小吃快餐,地址:沙田 源禾路一號沙田大會堂平台   +852-26027368,¥144,特色: 烧鹅双拼饭   棋哥叉烧饭   烧鹅濑粉
大门横丁(厚福街店) 分店,标签:日本料理,地址:尖沙咀厚福街10号地下   23944335,¥78,特色: 太阳芝士炸鸡   韩式冷面   墨魚仔辣炒年糕
太平洋咖啡(摩罗庙店) 分店,标签:咖啡厅,地址:半山摩罗庙街22号   25220137,¥40,特色: 芝士焗龙虾   鱼翅   椒盐濑尿虾
老锅台式火锅(铜锣湾店),标签:火锅,地址:铜锣湾轩尼诗道525号澳门逸园中心3楼   +852-25661561,¥308,特色: 和牛   北京片皮鸭   龙虾面
翠韵轩,标签:粤菜   中餐,地址:香港文化中心餐厅大楼1-2楼   +852-27220932,¥196,特色: 小份蛇羹   A餐   蛇腩炒饭
麦奀云吞面世家,标签:茶餐厅   粤菜,地址:新界荃湾杨屋道1号荃新天地一期地下G13至G15号铺   +852-26263036,¥51,特色: The Burger   鸭油薯条   狗年堡
JW咖啡室,标签:自助餐,地址:金钟金钟道88号太古广场香港JW万豪酒店5楼   +852-28108366,¥548,特色: mini burger   澳洲和牛   日本和牛牛排
Goobne,标签:韩国料理,地址:銅鑼灣地铁站A出入口西150米   ,-,特色: 咖啡   blueberry   juice
云龙轩,标签:自助餐   中餐,地址:香港大屿山香港迪士尼乐园迪士尼探索家度假酒店   +852-35102000,¥238,特色: 奶茶   咖喱牛腩饭   牛油猪仔包
天后甜品(天后分店),标签:面包甜点,地址:天后电气道83-87号利景阁4号铺   +852-25032501,¥43,特色: 大甲芋头鲜奶   芝士奶盖   珍珠红茶拿铁
明星海鲜酒家(西环店) 分店,标签:更多美食,地址:西环德辅道西271-285号2楼   25486838,¥157,特色: 拿鐵
兰芳园茶餐厅(上环店) 分店,标签:茶餐厅   粤菜,地址:上环干诺道中168-200号信德中心3楼304D号铺   +852-25177268,¥48,特色: 杨枝甘露   冰烧3层肉   老火靓汤
Sugar (Bar.Deck.Lounge)(Bar.De...,标签:酒吧,地址:太古城道29號東隅32樓   39683738,¥168,特色: 拿鐵咖啡
映水芙蓉-精致成都菜,标签:中餐   川菜,地址:尖沙咀广东道3-27号海港城OTE 2楼201室   +852-23882008,¥456,特色: 云吞鲮鱼球双拼面   净云吞   三宝面
牛一,标签:日本料理,地址:香港屯门屯隆街3号屯门市广场一期1楼1246-1266号铺   29150002,¥147,特色: 全日早餐   奶茶   H美式早餐
一品雞煲火鍋,标签:火锅,地址:铜锣湾谢斐道483-499号新城大厦1楼全层   +852-26703337,¥198,特色: 大鱼蛋   四宝丸   魚肉釀豆卜
稻香(新九龙广场店) 分店,标签:粤菜   中餐,地址:大角咀大角咀道38号新九龙广场1楼127-160铺   83008123,¥67,特色: 蒜蓉香辣鸡翼尖   混醬腸粉   B仔凉粉
翠华餐厅(牛头角店) 分店,标签:茶餐厅   粤菜,地址:牛头角励业街50号地下至1楼   23433866,¥61,特色: 猪扒包   蛋挞   奶茶
柠檬王,标签:小吃快餐,地址:香港中环永吉街18號   +852-35472331,¥144,特色: 免治香草芝士鸡肉   野菌锅   寿喜锅
凤城酒家(北角店) 分店,标签:粤菜   中餐,地址:北角渣华道62-68号高发大厦地下及1楼   25784898,¥116,特色: 蛋黄流沙可颂   龙虾牛角包   牛角酥
太平洋咖啡(美丽华店) 分店,标签:咖啡厅,地址:尖沙咀弥敦道132号美丽华商场G31-G32A号铺   27350112,¥33,特色: 芒果糯米糍   榴莲糯米糍   士多啤梨糯米糍
IRVINS Salted Egg,标签:东南亚菜,地址:尖沙咀广东道3-27号海港城3楼3D号铺   ,¥100,特色: 咖喱蛋包饭   芝士咖哩蛋包饭   冻奶茶
正宗水上人气锅专门店(旺角总店),标签:海鲜,地址:九龙旺角砵兰街196号地下   +852-25278883,¥551,特色: 奶黄马拉糕   猪油捞饭   五味鸡
德发牛肉丸,标签:小吃快餐,地址:尖沙咀海防道390号熟食档   23761179,¥31,特色: 大哥叉烧   爵士汤   烧鹅
德记潮州菜馆,标签:粤菜   中餐,地址:德記潮州菜館 (西環) 西環堅尼地城卑路乍街3號G益豐大廈地下   28195568,¥129,特色: 黑松露薯条   四川炸鸡包   猪肉汉堡
Felix,标签:西餐,地址:尖沙咀梳士巴利道22号香港半岛酒店28楼   +852-26966778,¥549,特色: 泰式炒金边粉包蛋   冬荫虾汤   香兰叶包鸡
